Country,iso3c,year,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Coundation
Afghanistan,AFG,2019,3.538,4.134,3.636,2.41,BAHAYA
Afghanistan,AFG,2020,3.581,4.136,3.626,2.602,BAHAYA
Afghanistan,AFG,2021,3.588,4.177,3.626,2.556,BAHAYA
Afghanistan,AFG,2022,3.545,4.135,3.626,2.455,BAHAYA
Afghanistan,AFG,2023,3.448,4.136,3.434,2.3,BAHAYA
Albania,ALB,2019,1.733,2.176,1.224,1.676,AMAN
Albania,ALB,2020,1.774,2.142,1.414,1.661,AMAN
Albania,ALB,2021,1.781,2.164,1.403,1.668,AMAN
Albania,ALB,2022,1.764,2.13,1.403,1.657,AMAN
Albania,ALB,2023,1.745,2.078,1.403,1.67,AMAN
Algeria,DZA,2019,2.213,2.353,2.057,2.257,WASPADA
Algeria,DZA,2020,2.186,2.328,2.041,2.207,WASPADA
Algeria,DZA,2021,2.167,2.426,1.832,2.225,WASPADA
Algeria,DZA,2022,2.126,2.298,2.029,2.015,WASPADA
Algeria,DZA,2023,2.094,2.423,1.821,1.925,WASPADA
Angola,AGO,2019,1.952,2.347,1.615,1.764,AMAN
Angola,AGO,2020,1.918,2.381,1.413,1.828,AMAN
Angola,AGO,2021,2.016,2.486,1.621,1.776,WASPADA
Angola,AGO,2022,1.97,2.439,1.608,1.682,AMAN
Angola,AGO,2023,2.02,2.423,1.639,1.847,WASPADA
Argentina,ARG,2019,1.984,2.745,1.201,1.755,AMAN
Argentina,ARG,2020,1.948,2.726,1.201,1.639,AMAN
Argentina,ARG,2021,1.926,2.607,1.201,1.762,AMAN
Argentina,ARG,2022,1.904,2.651,1.201,1.593,AMAN
Argentina,ARG,2023,1.837,2.519,1.201,1.547,AMAN
Armenia,ARM,2019,2.047,2.045,2.105,1.955,WASPADA
Armenia,ARM,2020,1.935,2.028,1.695,2.132,AMAN
Armenia,ARM,2021,1.938,1.877,1.876,2.149,AMAN
Armenia,ARM,2022,1.933,2.004,1.769,2.066,AMAN
Armenia,ARM,2023,1.929,1.987,1.783,2.061,AMAN
Australia,AUS,2019,1.439,1.57,1.069,1.755,AMAN
Australia,AUS,2020,1.434,1.533,1.102,1.762,AMAN
Australia,AUS,2021,1.47,1.611,1.062,1.831,AMAN
Australia,AUS,2022,1.565,1.656,1.261,1.855,AMAN
Australia,AUS,2023,1.525,1.606,1.258,1.772,AMAN
Austria,AUT,2019,1.259,1.378,1.046,1.355,AMAN
Austria,AUT,2020,1.265,1.411,1.044,1.328,AMAN
Austria,AUT,2021,1.319,1.534,1.041,1.332,AMAN
Austria,AUT,2022,1.31,1.467,1.098,1.343,AMAN
Austria,AUT,2023,1.316,1.51,1.068,1.328,AMAN
Azerbaijan,AZE,2019,2.274,2.418,2.127,2.207,WASPADA
Azerbaijan,AZE,2020,2.046,2.327,1.637,2.114,WASPADA
Azerbaijan,AZE,2021,2.151,2.382,1.821,2.168,WASPADA
Azerbaijan,AZE,2022,2.173,2.441,1.888,2.098,WASPADA
Azerbaijan,AZE,2023,2.09,2.339,1.847,1.986,WASPADA
Bahrain,BHR,2019,2.246,2.508,2.179,1.921,WASPADA
Bahrain,BHR,2020,2.148,2.514,2.023,1.681,WASPADA
Bahrain,BHR,2021,2.132,2.424,2.058,1.724,WASPADA
Bahrain,BHR,2022,2.165,2.444,2.046,1.863,WASPADA
Bahrain,BHR,2023,2.145,2.364,2.035,1.951,WASPADA
Bangladesh,BGD,2019,2.087,2.298,2.18,1.63,WASPADA
Bangladesh,BGD,2020,2.028,2.324,1.991,1.581,WASPADA
Bangladesh,BGD,2021,2.018,2.318,1.996,1.542,WASPADA
Bangladesh,BGD,2022,2.063,2.441,2.027,1.468,WASPADA
Bangladesh,BGD,2023,2.051,2.435,1.997,1.465,WASPADA
Belarus,BLR,2019,2.046,2.332,1.805,1.908,WASPADA
Belarus,BLR,2020,2.033,2.266,1.805,1.978,WASPADA
Belarus,BLR,2021,2.231,2.449,2.208,1.915,WASPADA
Belarus,BLR,2022,2.278,2.577,2.208,1.883,WASPADA
Belarus,BLR,2023,2.248,2.495,2.208,1.907,WASPADA
Belgium,BEL,2019,1.474,1.725,1.133,1.532,AMAN
Belgium,BEL,2020,1.528,1.811,1.188,1.529,AMAN
Belgium,BEL,2021,1.515,1.807,1.135,1.556,AMAN
Belgium,BEL,2022,1.544,1.857,1.123,1.611,AMAN
Belgium,BEL,2023,1.523,1.802,1.084,1.672,AMAN
Benin,BEN,2019,1.925,2.34,1.49,1.831,AMAN
Benin,BEN,2020,2.206,2.483,2.117,1.892,WASPADA
Benin,BEN,2021,2.146,2.572,1.749,1.995,WASPADA
Benin,BEN,2022,2.176,2.598,1.74,2.081,WASPADA
Benin,BEN,2023,2.177,2.682,1.763,1.901,WASPADA
Bhutan,BTN,2019,1.404,1.388,1.462,1.357,AMAN
Bhutan,BTN,2020,1.417,1.417,1.471,1.344,AMAN
Bhutan,BTN,2021,1.396,1.384,1.462,1.33,AMAN
Bhutan,BTN,2022,1.386,1.376,1.444,1.331,AMAN
Bhutan,BTN,2023,1.496,1.608,1.448,1.368,AMAN
Bolivia,BOL,2019,1.977,2.347,1.421,2.135,AMAN
Bolivia,BOL,2020,2.037,2.49,1.421,2.129,WASPADA
Bolivia,BOL,2021,2.018,2.484,1.421,2.06,WASPADA
Bolivia,BOL,2022,1.977,2.515,1.403,1.865,AMAN
Bolivia,BOL,2023,2.001,2.555,1.417,1.873,WASPADA
Bosnia and Herzegovina,BIH,2019,1.884,2.136,1.846,1.488,AMAN
Bosnia and Herzegovina,BIH,2020,1.9,2.181,1.844,1.475,AMAN
Bosnia and Herzegovina,BIH,2021,1.855,2.064,1.842,1.501,AMAN
Bosnia and Herzegovina,BIH,2022,1.857,2.053,1.842,1.529,AMAN
Bosnia and Herzegovina,BIH,2023,1.892,2.144,1.851,1.496,AMAN
Botswana,BWA,2019,1.801,2.538,1,1.627,AMAN
Botswana,BWA,2020,1.815,2.526,1,1.708,AMAN
Botswana,BWA,2021,1.761,2.343,1,1.815,AMAN
Botswana,BWA,2022,1.814,2.468,1,1.812,AMAN
Botswana,BWA,2023,1.762,2.376,1.018,1.735,AMAN
Brazil,BRA,2019,2.449,3.212,1.764,2.135,WASPADA
Brazil,BRA,2020,2.446,3.295,1.769,1.969,WASPADA
Brazil,BRA,2021,2.403,3.302,1.729,1.835,WASPADA
Brazil,BRA,2022,2.452,3.307,1.802,1.932,WASPADA
Brazil,BRA,2023,2.462,3.319,1.9,1.824,WASPADA
Bulgaria,BGR,2019,1.603,2.015,1.023,1.702,AMAN
Bulgaria,BGR,2020,1.596,1.961,1.011,1.788,AMAN
Bulgaria,BGR,2021,1.556,1.927,1,1.699,AMAN
Bulgaria,BGR,2022,1.557,1.965,1,1.634,AMAN
Bulgaria,BGR,2023,1.643,2.008,1.201,1.619,AMAN
Burkina Faso,BFA,2019,2.198,2.61,1.927,1.912,WASPADA
Burkina Faso,BFA,2020,2.294,2.694,2.016,2.023,WASPADA
Burkina Faso,BFA,2021,2.544,2.94,2.459,2.042,WASPADA
Burkina Faso,BFA,2022,2.767,3.026,2.91,2.181,WASPADA
Burkina Faso,BFA,2023,2.868,3.253,3.005,2.052,WASPADA
Burundi,BDI,2019,2.509,3.174,2.376,1.525,WASPADA
Burundi,BDI,2020,2.458,2.951,2.513,1.521,WASPADA
Burundi,BDI,2021,2.416,2.839,2.456,1.631,WASPADA
Burundi,BDI,2022,2.527,2.967,2.653,1.58,WASPADA
Burundi,BDI,2023,2.393,2.878,2.267,1.716,WASPADA
Cambodia,KHM,2019,2.017,2.437,1.49,2.039,WASPADA
Cambodia,KHM,2020,1.971,2.34,1.513,1.987,AMAN
Cambodia,KHM,2021,2.008,2.311,1.719,1.923,WASPADA
Cambodia,KHM,2022,1.952,2.195,1.719,1.9,AMAN
Cambodia,KHM,2023,1.947,2.176,1.742,1.88,AMAN
Cameroon,CMR,2019,2.569,2.868,2.69,1.922,WASPADA
Cameroon,CMR,2020,2.643,2.983,2.892,1.745,WASPADA
Cameroon,CMR,2021,2.703,3.048,2.932,1.814,WASPADA
Cameroon,CMR,2022,2.72,3.036,2.926,1.913,WASPADA
Cameroon,CMR,2023,2.66,2.974,2.914,1.793,WASPADA
Canada,CAN,2019,1.32,1.434,1.057,1.498,AMAN
Canada,CAN,2020,1.337,1.479,1.055,1.493,AMAN
Canada,CAN,2021,1.318,1.461,1.041,1.463,AMAN
Canada,CAN,2022,1.39,1.63,1.039,1.465,AMAN
Canada,CAN,2023,1.35,1.537,1.037,1.466,AMAN
Central African Republic,CAF,2019,3.084,3.673,2.965,2.248,BAHAYA
Central African Republic,CAF,2020,2.956,3.475,2.836,2.238,WASPADA
Central African Republic,CAF,2021,2.914,3.414,2.758,2.274,WASPADA
Central African Republic,CAF,2022,2.927,3.496,2.684,2.279,WASPADA
Central African Republic,CAF,2023,2.934,3.532,2.831,2.052,WASPADA
Chad,TCD,2019,2.506,2.781,2.508,2.104,WASPADA
Chad,TCD,2020,2.552,2.855,2.52,2.147,WASPADA
Chad,TCD,2021,2.556,2.858,2.577,2.075,WASPADA
Chad,TCD,2022,2.589,2.922,2.511,2.186,WASPADA
Chad,TCD,2023,2.699,3.03,2.674,2.233,WASPADA
Chile,CHL,2019,1.654,2.165,1,1.683,AMAN
Chile,CHL,2020,1.815,2.271,1.403,1.638,AMAN
Chile,CHL,2021,1.787,2.377,1.201,1.594,AMAN
Chile,CHL,2022,1.841,2.374,1.403,1.565,AMAN
Chile,CHL,2023,1.874,2.332,1.403,1.776,AMAN
China,CHN,2019,1.986,2.228,1.641,2.024,AMAN
China,CHN,2020,1.949,2.138,1.646,2.024,AMAN
China,CHN,2021,1.989,2.043,1.852,2.062,AMAN
China,CHN,2022,2.018,2.062,1.926,2.039,WASPADA
China,CHN,2023,2.009,2.07,1.897,2.03,WASPADA
Colombia,COL,2019,2.672,3.535,2.043,1.999,WASPADA
Colombia,COL,2020,2.663,3.465,2.08,2.035,WASPADA
Colombia,COL,2021,2.689,3.486,2.073,2.112,WASPADA
Colombia,COL,2022,2.738,3.599,2.082,2.106,WASPADA
Colombia,COL,2023,2.693,3.584,2.099,1.924,WASPADA
Costa Rica,CRI,2019,1.735,2.211,1.201,1.66,AMAN
Costa Rica,CRI,2020,1.709,2.188,1.201,1.595,AMAN
Costa Rica,CRI,2021,1.718,2.163,1.201,1.674,AMAN
Costa Rica,CRI,2022,1.775,2.32,1.201,1.631,AMAN
Costa Rica,CRI,2023,1.731,2.231,1.201,1.608,AMAN
Cote d' Ivoire,CIV,2019,2.08,2.617,1.702,1.703,WASPADA
Cote d' Ivoire,CIV,2020,2.113,2.729,1.725,1.608,WASPADA
Cote d' Ivoire,CIV,2021,2.132,2.75,1.729,1.641,WASPADA
Cote d' Ivoire,CIV,2022,2.16,2.741,1.729,1.773,WASPADA
Cote d' Ivoire,CIV,2023,2.053,2.505,1.76,1.704,WASPADA
Croatia,HRV,2019,1.568,1.668,1.426,1.585,AMAN
Croatia,HRV,2020,1.531,1.597,1.414,1.573,AMAN
Croatia,HRV,2021,1.459,1.598,1.201,1.583,AMAN
Croatia,HRV,2022,1.438,1.546,1.201,1.588,AMAN
Croatia,HRV,2023,1.45,1.581,1.201,1.575,AMAN
Cuba,CUB,2019,2.018,2.463,1.805,1.53,WASPADA
Cuba,CUB,2020,2.048,2.544,1.805,1.508,WASPADA
Cuba,CUB,2021,2.05,2.538,1.805,1.531,WASPADA
Cuba,CUB,2022,2.112,2.7,1.805,1.495,WASPADA
Cuba,CUB,2023,2.103,2.701,1.805,1.46,WASPADA
Cyprus,CYP,2019,1.867,2.189,1.604,1.555,AMAN
Cyprus,CYP,2020,1.885,2.229,1.604,1.562,AMAN
Cyprus,CYP,2021,1.898,2.228,1.604,1.621,AMAN
Cyprus,CYP,2022,1.909,2.263,1.604,1.607,AMAN
Cyprus,CYP,2023,1.904,2.281,1.604,1.55,AMAN
Czech Republic,CZE,2019,1.343,1.564,1.046,1.353,AMAN
Czech Republic,CZE,2020,1.346,1.57,1.044,1.357,AMAN
Czech Republic,CZE,2021,1.334,1.563,1.041,1.326,AMAN
Czech Republic,CZE,2022,1.317,1.556,1.041,1.265,AMAN
Czech Republic,CZE,2023,1.379,1.526,1.247,1.279,AMAN
Democratic Republic of the Congo,COD,2019,3.081,3.614,3.264,1.994,BAHAYA
Democratic Republic of the Congo,COD,2020,3.039,3.682,3.128,1.868,BAHAYA
Democratic Republic of the Congo,COD,2021,3.118,3.76,3.16,2.015,BAHAYA
Democratic Republic of the Congo,COD,2022,3.109,3.753,3.222,1.912,BAHAYA
Democratic Republic of the Congo,COD,2023,3.214,3.749,3.421,2.063,BAHAYA
Denmark,DNK,2019,1.299,1.283,1.282,1.338,AMAN
Denmark,DNK,2020,1.307,1.33,1.279,1.288,AMAN
Denmark,DNK,2021,1.293,1.315,1.266,1.278,AMAN
Denmark,DNK,2022,1.298,1.307,1.254,1.336,AMAN
Denmark,DNK,2023,1.31,1.305,1.247,1.403,AMAN
Djibouti,DJI,2019,2.126,2.369,1.925,2.014,WASPADA
Djibouti,DJI,2020,2.168,2.397,1.956,2.092,WASPADA
Djibouti,DJI,2021,2.113,2.375,1.951,1.909,WASPADA
Djibouti,DJI,2022,2.211,2.493,1.941,2.125,WASPADA
Djibouti,DJI,2023,2.196,2.531,1.96,1.971,WASPADA
Dominican Republic,DOM,2019,2.023,2.725,1.403,1.661,WASPADA
Dominican Republic,DOM,2020,1.961,2.644,1.403,1.546,AMAN
Dominican Republic,DOM,2021,1.972,2.593,1.403,1.682,AMAN
Dominican Republic,DOM,2022,2.022,2.638,1.403,1.809,WASPADA
Dominican Republic,DOM,2023,2.019,2.535,1.604,1.687,WASPADA
Ecuador,ECU,2019,1.943,2.458,1.403,1.803,AMAN
Ecuador,ECU,2020,2.031,2.465,1.604,1.893,WASPADA
Ecuador,ECU,2021,2.012,2.628,1.426,1.757,WASPADA
Ecuador,ECU,2022,1.96,2.471,1.408,1.842,AMAN
Ecuador,ECU,2023,2.095,2.571,1.676,1.876,WASPADA
Egypt,EGY,2019,2.381,2.536,2.505,1.994,WASPADA
Egypt,EGY,2020,2.397,2.467,2.517,2.164,WASPADA
Egypt,EGY,2021,2.441,2.651,2.536,1.996,WASPADA
Egypt,EGY,2022,2.335,2.497,2.45,1.945,WASPADA
Egypt,EGY,2023,2.267,2.467,2.362,1.831,WASPADA
El Salvador,SLV,2019,2.222,3.115,1.448,1.73,WASPADA
El Salvador,SLV,2020,2.224,3.15,1.446,1.677,WASPADA
El Salvador,SLV,2021,2.18,2.983,1.444,1.796,WASPADA
El Salvador,SLV,2022,2.256,3.064,1.444,1.967,WASPADA
El Salvador,SLV,2023,2.279,3.048,1.448,2.082,WASPADA
Equatorial Guinea,GNQ,2019,1.876,2.231,1.403,1.943,AMAN
Equatorial Guinea,GNQ,2020,1.817,2.235,1.403,1.68,AMAN
Equatorial Guinea,GNQ,2021,1.879,2.239,1.604,1.635,AMAN
Equatorial Guinea,GNQ,2022,1.9,2.252,1.604,1.698,AMAN
Equatorial Guinea,GNQ,2023,2.013,2.448,1.604,1.817,WASPADA
Eritrea,ERI,2019,2.548,3.416,1.747,1.969,WASPADA
Eritrea,ERI,2020,2.582,3.405,1.793,2.059,WASPADA
Eritrea,ERI,2021,2.567,3.365,1.793,2.069,WASPADA
Eritrea,ERI,2022,2.519,3.379,1.793,1.849,WASPADA
Eritrea,ERI,2023,2.505,3.428,1.787,1.709,WASPADA
Estonia,EST,2019,1.579,1.689,1.458,1.544,AMAN
Estonia,EST,2020,1.568,1.663,1.451,1.557,AMAN
Estonia,EST,2021,1.558,1.647,1.444,1.552,AMAN
Estonia,EST,2022,1.565,1.665,1.444,1.55,AMAN
Estonia,EST,2023,1.563,1.657,1.448,1.545,AMAN
Eswatini,SWZ,2019,1.887,2.426,1.403,1.627,AMAN
Eswatini,SWZ,2020,1.907,2.499,1.403,1.58,AMAN
Eswatini,SWZ,2021,1.888,2.452,1.403,1.587,AMAN
Eswatini,SWZ,2022,2.042,2.554,1.604,1.78,WASPADA
Eswatini,SWZ,2023,2.168,2.746,1.816,1.688,WASPADA
Ethiopia,ETH,2019,2.439,2.81,2.487,1.777,WASPADA
Ethiopia,ETH,2020,2.436,2.793,2.574,1.687,WASPADA
Ethiopia,ETH,2021,2.56,2.871,2.743,1.8,WASPADA
Ethiopia,ETH,2022,2.805,2.94,3.374,1.865,WASPADA
Ethiopia,ETH,2023,2.872,3.087,3.419,1.826,WASPADA
Finland,FIN,2019,1.393,1.285,1.256,1.796,AMAN
Finland,FIN,2020,1.361,1.263,1.249,1.708,AMAN
Finland,FIN,2021,1.406,1.405,1.243,1.646,AMAN
Finland,FIN,2022,1.439,1.347,1.444,1.587,AMAN
Finland,FIN,2023,1.399,1.251,1.448,1.585,AMAN
France,FRA,2019,1.829,1.754,1.256,2.767,AMAN
France,FRA,2020,1.94,1.897,1.409,2.767,AMAN
France,FRA,2021,1.923,1.901,1.336,2.78,AMAN
France,FRA,2022,1.918,1.875,1.353,2.773,AMAN
France,FRA,2023,1.939,1.872,1.416,2.769,AMAN
Gabon,GAB,2019,2.119,2.61,1.659,1.923,WASPADA
Gabon,GAB,2020,2.128,2.603,1.677,1.947,WASPADA
Gabon,GAB,2021,2.037,2.511,1.677,1.732,WASPADA
Gabon,GAB,2022,2.019,2.482,1.677,1.708,WASPADA
Gabon,GAB,2023,2.068,2.537,1.696,1.788,WASPADA
Georgia,GEO,2019,1.994,2.215,1.828,1.817,AMAN
Georgia,GEO,2020,2.022,2.298,1.817,1.801,WASPADA
Georgia,GEO,2021,2.011,2.277,1.805,1.808,WASPADA
Georgia,GEO,2022,2.061,2.409,1.805,1.78,WASPADA
Georgia,GEO,2023,2.071,2.452,1.805,1.745,WASPADA
Germany,DEU,2019,1.5,1.605,1.077,1.912,AMAN
Germany,DEU,2020,1.502,1.64,1.07,1.869,AMAN
Germany,DEU,2021,1.492,1.639,1.063,1.838,AMAN
Germany,DEU,2022,1.453,1.599,1.063,1.746,AMAN
Germany,DEU,2023,1.456,1.628,1.046,1.73,AMAN
Ghana,GHA,2019,1.776,1.938,1.54,1.854,AMAN
Ghana,GHA,2020,1.829,2.099,1.57,1.743,AMAN
